RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  256  277     0     0  con    0  1.0D+00  5.9D-04  7.964D-08  4.985D-08
  257  278     0     0  con    0  1.0D+00  1.3D-03  5.594D-08  4.984D-08
  258  279     0     0  con    0  1.0D+00  2.6D-03  6.903D-08  4.984D-08
  259  280     0     0  con    0  1.0D+00  8.5D-03  1.211D-07  4.981D-08
  260  282     0     0  con    1  1.9D-01  2.0D-03  1.014D-07  4.980D-08
  261  284     0     0  con    1  2.5D-01  2.6D-03  9.533D-08  4.980D-08
  262  286     0     0  con    1  1.9D-01  2.2D-03  7.284D-08  4.979D-08
  263  288     0     0  con    1  2.1D-01  1.9D-03  5.034D-08  4.979D-08
  264  290     0     0  con    1  2.2D-01  1.6D-03  3.707D-08  4.979D-08
  265  292     0     0  con    1  2.0D-01  1.6D-03  3.384D-08  4.978D-08
  266  294     0     0  con    1  1.7D-01  1.7D-03  5.803D-08  4.978D-08
  267  296     0     0  con    1  1.8D-01  1.9D-03  6.185D-08  4.978D-08
  268  298     0     0  con    1  2.2D-01  2.3D-03  6.282D-08  4.978D-08
  269  300     0     0  con    1  2.6D-01  2.5D-03  1.381D-07  4.976D-08
  270  302     0     0  con    1  2.1D-01  2.8D-03  1.408D-07  4.975D-08
  271  304     0     0  con    1  3.0D-01  3.4D-03  1.791D-07  4.972D-08
  272  306     0     0  con    1  2.6D-01  4.1D-03  1.383D-07  4.969D-08
  273  308     0     0  con    1  2.4D-01  3.5D-03  2.412D-07  4.965D-08
  274  309     0     0  con    0  1.0D+00  1.2D-02  2.052D-07  4.958D-08
  275  310     0     0  con    0  1.0D+00  8.7D-03  2.509D-07  4.937D-08
  276  311     0     0  con    0  1.0D+00  2.5D-02  3.065D-07  4.867D-08
  277  312     0     0  con    0  1.0D+00  3.5D-02  3.422D-07  4.795D-08
  278  313     0     0  con    0  1.0D+00  3.3D-02  4.687D-07  4.691D-08
  279  314     0     0  con    0  1.0D+00  5.7D-03  1.629D-07  4.643D-08
  280  315     0     0  con    0  1.0D+00  6.7D-03  3.487D-07  4.596D-08
  281  316     0     0  con    0  1.0D+00  1.1D-02  3.936D-07  4.563D-08
  282  317     0     0  con    0  1.0D+00  4.3D-02  3.637D-07  4.467D-08
  283  319     0     0  con    1  1.9D-01  2.1D-02  4.225D-07  4.429D-08
  284  320     0     0  con    0  1.0D+00  4.6D-02  2.157D-07  4.349D-08
  285  321     0     0  con    0  1.0D+00  3.3D-02  2.315D-07  4.298D-08
  286  322     0     0  con    0  1.0D+00  1.7D-02  3.387D-07  4.261D-08
  287  323     0     0  con    0  1.0D+00  1.2D-02  4.389D-07  4.232D-08
  288  324     0     0  con    0  1.0D+00  5.5D-03  1.761D-07  4.205D-08
  289  325     0     0  con    0  1.0D+00  4.6D-03  1.157D-07  4.186D-08
  290  326     0     0  con    0  1.0D+00  5.5D-03  2.031D-07  4.164D-08
  291  327     0     0  con    0  1.0D+00  6.5D-03  1.223D-07  4.138D-08
  292  329     0     0  con    1  4.0D-01  4.3D-03  1.583D-07  4.126D-08
  293  330     0     0  con    0  1.0D+00  1.9D-03  5.136D-08  4.116D-08
  294  331     0     0  con    0  1.0D+00  5.4D-04  1.293D-07  4.113D-08
  295  332     0     0  con    0  1.0D+00  2.0D-03  1.715D-07  4.108D-08
  296  333     0     0  con    0  1.0D+00  4.7D-03  2.992D-07  4.096D-08
  297  334     0     0  con    0  1.0D+00  1.0D-02  2.773D-07  4.071D-08
  298  335     0     0  con    0  1.0D+00  2.4D-02  2.961D-07  4.045D-08
  299  336     0     0  con    0  1.0D+00  9.2D-03  9.841D-08  4.019D-08
  300  337     0     0  con    0  1.0D+00  3.5D-03  1.049D-07  4.001D-08
  301  338     0     0  con    0  1.0D+00  1.3D-02  1.817D-07  3.990D-08
  302  339     0     0  con    0  1.0D+00  2.6D-02  5.662D-07  3.989D-08
  303  340     0     0  con    0  1.0D+00  1.5D-02  2.257D-07  3.976D-08
  304  341     0     0  con    0  1.0D+00  1.1D-02  1.529D-07  3.973D-08
  305  342     0     0  con    0  1.0D+00  8.4D-03  2.218D-07  3.971D-08
